RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
133,Montana,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,22.6,29,14,
134,Louisiana Tech,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,N/A,
135,Chattanooga,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,N/A,
136,South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,N/A,
137,Samford,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,N/A,
138,Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,N/A,
139,Seattle,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,29.9,27,N/A,
140,Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,N/A,
141,Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,30,31,N/A,
142,Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,N/A,
